FAMILY,SUBFAMILY,TRIBE,GENUS,SUBGENUS,SPECIES,SUBSPECIES,AUTHOR_YEAR,DET,TYPUS,M,F,NOSEX,NATION,REGION,PROVINCE,LOCALITY.1,LOCALITY.2,ALTITUDINE,LAT,LONG,GIVEN_LAT,GIVEN_LONG,BIOG_REG,DATA,SOURCE,COLLECTOR,RECORD_TYPE,NOTES
Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,cossyrense,,,,,,,,IT,Sicilia,,"Trapani, Pantelleria Bagno dell'Acqua",,5,,,36.81,11.98,palaearctic,2021-05-29,MAB,P. Audisio,PreservedSpecimen,
Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,cossyrense,,,,Paratypus,,,1,IT,Sicilia,,"Trapani, Pantelleria Cala 5 denti",,10,,,36.81,12,palaearctic,1983-07-5/1983-07-24,MVE,P. Canestrelli,PreservedSpecimen,
Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,cossyrense,,,,Paratypus,,,1,IT,Sicilia,,"Trapani, Pantelleria Cala 5 denti",,10,,,36.81,12,palaearctic,1983-07-18,MVE,E. Ratti,PreservedSpecimen,
Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,cossyrense,,,,,,,1,IT,Sicilia,,"Pantelleria Island, Bivio Piano Ghirlanda",,,,,36.7,11.9,palaearctic,2019-06-17,coll. Poloni,M. Pavesi,PreservedSpecimen,
Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,cossyrense,,,,,,,,IT,Sicilia,,"Trapani, Pantelleria, Khattibuale",,36,,,36.82,11.98,palaearctic,2019-06-17,coll. Poloni,M. Pavesi,PreservedSpecimen,
Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,cossyrense,,,,Paratypus,,,5,IT,Sicilia,,"Trapani, Pantelleria, Lago (= Specchio di Venere)",,5,,,36.81,11.98,palaearctic,1983-07-5/1983-07-24,MAB,P. Canestrelli,PreservedSpecimen,su Daucus carota
Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,cossyrense,,,,Paratypus,,,5,IT,Sicilia,,"Trapani, Pantelleria, Lago (= Specchio di Venere)",,5,,,36.81,11.98,palaearctic,1983-07-5/1983-07-24,MVE,P. Canestrelli,PreservedSpecimen,su Daucus carota
Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,cossyrense,,,,,,,,IT,Sicilia,,"Trapani, Pantelleria, Specchio di Venere",,5,,,36.81,11.98,palaearctic,2019-06-17,MAB,M. Pavesi,PreservedSpecimen,
Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,cossyrense,,,,,,,,IT,Sicilia,,"Trapani, Pantelleria, Lago di Venere",,5,,,36.81,11.98,palaearctic,2019-06-17,coll. Poloni,M. Pavesi,PreservedSpecimen,
Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,cossyrense,,,,Holotypus,,,1,IT,Sicilia,,"Trapani, Pantelleria, Tracino",,,45.19N,26.17E,36.79,12.04,palaearctic,1993-06-28,MZP,B. Massa,PreservedSpecimen,
Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,lowei,,,,,,,,PT,Madeira,,"Madeira Island, Curral das Freiras",,600-800,,,32.71,-16.96,palaearctic,,Erber & Hinterseher (1988 as Oedemerella),,MaterialCitation,
Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,lowei,,,,,,,,PT,Madeira,,"Madeira Island, Encumeada",,1000,,,32.75,-17.01,palaearctic,,Erber & Hinterseher (1988 as Oedemerella),,MaterialCitation,
Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,lowei,,,,,,,,PT,Madeira,,"Madeira Island, Madera boreali  ad Sanctam Annam  ",,,,,32.8,-16.88,palaearctic,,Wollaston (1954),,MaterialCitation,
Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,lowei,,,,,,,,PT,Madeira,,"Madeira Island, Pico Ruivo",,1700-1800,,,32.75,-16.94,palaearctic,,Erber & Hinterseher (1988 as Oedemerella),,MaterialCitation,
Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,lowei,,,,,,,,PT,Madeira,,"Madeira Island, Raba√ßal ",,,,,32.75,-17.11,palaearctic,,Erber & Hinterseher (1988 as Oedemerella),,MaterialCitation,
Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,lowei,,,,,,,,PT,Madeira,,"Madeira Island, Raba√ßal, Levada Vinte e Cinco Fonte",,900,,,32.75,-17.11,palaearctic,,Erber & Hinterseher (1988 as Oedemerella),,MaterialCitation,
Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,lowei,,,,,,,,PT,Madeira,,"Madeira Island, Ribeira de Janela, gorge",,800,,,32.84,-17.15,palaearctic,,Erber & Hinterseher (1988 as Oedemerella),,MaterialCitation,
Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,lowei,,,,,,,,PT,Madeira,,"Madeira Island, Seixal ",,,,,32.82,-17.1,palaearctic,,Erber & Hinterseher (1988 as Oedemerella),,MaterialCitation,
Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,lowei,,,,,,,,PT,Madeira,,"Madeira Island, Torrinhas",,1500,,,32.75,-16.96,palaearctic,,Erber & Hinterseher (1988 as Oedemerella),,MaterialCitation,
Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,lowei,,,,,,,,PT,Madera,,Eira do Serrado ,,1000,,,32.71,-16.96,palaearctic,2007-07-16,NMPC,J. Hájek & K. Kalíková,PreservedSpecimen,
Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,melitense,,,,,,,,IT,Sicilia,,Punta Braccetto ,,2,,,36.82,14.46,palaearctic,2021-06-12,MAB,"M. A. Bologna, C. Marangoni",PreservedSpecimen,
Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,melitense,,,,,,,,IT,Sicilia,,Punta Braccetto ,,,,,36.82,14.46,palaearctic,1978-08,MVR,Pace,PreservedSpecimen,
Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,melitense,,,,,,,,MT,Malta,,Coral Lagoon ,,,,,35.996,14.367,palaearctic,2022-06,MAB,L. Spagoni,PreservedSpecimen,
Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,melitense,,,,,,,,MT,Malta,,Gozo Island  ,,,,,36.05,14.26,palaearctic,2018-05-25,coll. Poloni,F. Alamanni,PreservedSpecimen,
Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,melitense,,,,,,,,MT,Malta,,Gozo Island Gozo Dwejra,,,,,36.04,14.19,palaearctic,1980-06-29,MAB,J. L. Schembri,PreservedSpecimen,
